Unnamed: 0,城市,职位类型,学历要求,岗位名称,地址,薪资,年薪,经验不限,,
0,北京,Java,本科,软件开发助理,d832318082c6f0071HJ90ti9ElBX,5-7K,72000,1-3年,,
1,北京,Java,本科,初级java开发工程师,96ae9b5d84b664071HJ809S5GFJV,5-10K,90000,1-3年,,
2,北京,Java,大专,Java-短期3个月,86fe09c5591d63381Hx_09y1EVVR,8-11K,114000,5-10年,,
3,北京,Java,本科,泛微OA二次开发（JAVA开发）,b34c7bd1de986bf21HB93ty8GFtZ,7-12K·13薪,123500,1-3年,,
4,北京,Java,大专,开发工程师,dfdf57ce9ecc5e491XJy29m0ElBW,9-10K,114000,3-5年,,
5,北京,Java,本科,中级java开发工程师,2716c51bf03c02d81Hxy0tm-FFdU,9-13K,132000,3-5年,,
6,北京,Java,本科,软件开发工程师（福州地区）,2cd04e62660f44d31HV429m9GFpV,8-13K,126000,1-3年,,
7,北京,Java,本科,Java,e922574da5e85b5a1HJ63d-1ElZZ,6-11K,102000,1-3年,,
8,北京,Java,本科,java高级开发工程师,1ebaad3a83ddc9f11XJ43tm7EVdZ,9-14K,138000,5-10年,,
9,北京,Java,本科,Java实习生(可转正),dc529d1166f632dc1Hxz3t-0GFdR,6-11K,102000,在校/应届,,
10,北京,Java,本科,java开发工程师,792f327a0deaa3d71H162t-0FVpZ,9-12K,126000,经验不限,,
11,北京,Java,本科,后台开发工程师,6ca4b905567730471Hx_2dS9ElpQ,8-13K·13薪,136500,1-3年,,
12,北京,Java,本科,软件开发工程师,4784b33f22ccbcdd1HF62N65GVJY,8-12K,120000,3-5年,,
13,北京,Java,本科,java前端开发工程师,71bad9c2c9870cfa1Hxz3ti8GVpW,9-14K,138000,3-5年,,
14,北京,Java,本科,java web开发工程师,cce914c163a4015e1nRz3ti0EFZU,6-8K,84000,经验不限,,
15,北京,Java,本科,初级java工程师,4a1c356dce9bb7c71HFy2du7EFJY,8-10K,108000,1-3年,,
16,北京,Java,大专,中级java开发工程师（学信网可查）,1cdbe3738c8ec7971Hxy2NS_EVdS,8-12K,120000,3-5年,,
17,北京,Java,本科,Java开发工程师,591b0702846da1661Hxy09q_FVVW,7-9K,96000,5-10年,,
18,北京,Java,本科,中级-Java-后端开发工程师-3年以上,d35aabf30bdee1171HF409q4ElRX,9-14K·13薪,149500,3-5年,,
19,北京,Java,本科,后端开发工程师JD,2ed90ab9b670d6c11Hx53Nm9GVNW,8-11K,114000,1-3年,,
20,北京,Java,本科,Java工程师 (MJ000090),4e45b14eb3d0bff41HFy3dW7EFZT,8-12K,120000,1-3年,,
21,北京,Java,本科,初级java开发工程师,ee485a372b44f15c1HV42Nm_FVpX,9-14K,138000,1-3年,,
22,北京,Java,本科,Java研发工程师,a37d4ca79372b6cc1nB72N69EFM~,7-12K,114000,1-3年,,
23,北京,Java,本科,Java 软件开发工程师,338683a8ba2e0e391XR529-5GFBS,8-13K,126000,经验不限,,
24,北京,Java,本科,Java 代码审计,5bb253e7c44be16e1Hxz09u8FFBU,3-5K·14薪,56000,经验不限,,
25,北京,Java,本科,Java开发工程师,80539871c957c0621n183tm9E1VX,8-12K,120000,3-5年,,
26,北京,Java,本科,java工程师,8c25d7d3cfdebb041HV909W5FFVW,8-10K,108000,经验不限,,
27,北京,Java,本科,Java开发（21本科学信可查-北京）,c7a76d4bb9c8da011Hx_2ti8FVZR,7-9K,96000,3-5年,,
28,北京,Java,大专,全栈java开发工程师+面试定薪+长期项目,6e04964121c9ef9f1Hx80ti0GFpR,9-14K,138000,3-5年,,
