Unnamed: 0,城市,职位类型,学历要求 ,岗位名称,地址,薪资,年薪,学历
0,北京,人力资源专员/助理,本科,HR实习生,8cf59b01971534231HB73ty-GVVY,150-250元/天,50000,"['5天/周', '6个月', '本科']"
1,北京,人力资源专员/助理,本科,人力资源实习生,f82128eafbd310901HBz2dW1GFZS,150-200元/天,43750,"['3天/周', '3个月', '本科']"
2,北京,人力资源专员/助理,大专,人力资源专员/助理,e67a12e3ff7aa8911HJz0tW1GFVS,6-8K,84000,"['1-3年', '大专']"
3,北京,人力资源专员/助理,本科,综合管理部实习生,504b4342135759431HV62dW0EFJZ,120-150元/天,33750,"['4天/周', '3个月', '本科']"
4,北京,人力资源专员/助理,本科,人力资源实习生,84f3fe43e8e4bcec0XB_2Nm1Fls~,150-200元/天,43750,"['5天/周', '2个月', '本科']"
5,北京,人力资源专员/助理,本科,专家访谈项目助理-北京,2e50e28df95bc3c31HZ43dq9GFNU,9-13K·13薪,143000,"['经验不限', '本科']"
6,北京,人力资源专员/助理,学历不限,人力资源专员（包吃住有发展稳定福利好）,2bd319e6fd4f31c61HN93925EVJX,4-9K,78000,"['经验不限', '学历不限']"
7,北京,人力资源专员/助理,本科,人力资源实习,89964f5bebceec1a1Hx92d28EFRY,180-220元/天,50000,"['3天/周', '3个月', '本科']"
8,北京,人力资源专员/助理,大专,人事行政专员,86026bf14862c1311HVy3tu1GVdU,6-8K,84000,"['1-3年', '大专']"
9,北京,人力资源专员/助理,本科,人力资源高级专员,21d26e74f18f235b1HZ42tq7F1FW,7-9K,96000,"['3-5年', '本科']"
10,北京,人力资源专员/助理,硕士,郎子管培生(JD00045),b3553f7c068b3c9e1HZ63Ny1FlFS,8-13K,126000,"['经验不限', '硕士']"
11,北京,人力资源专员/助理,大专,人力资源专员/助理,04f39d149db972eb1HB92tu4EVJT,5-8K,78000,"['经验不限', '大专']"
12,北京,人力资源专员/助理,大专,人事专员/主管（总部职能岗位 新能源汽车）,be77cac0c24cf8581HN63t-0GVVT,6-9K,90000,"['1-3年', '大专']"
13,北京,人力资源专员/助理,本科,人事专员,2d2a825c1ac5ee251HF63dq8FVBX,9-11K·15薪,150000,"['1-3年', '本科']"
14,北京,人力资源专员/助理,学历不限,人事助理/专员,b3b16302734fc8f51HN_2Nq-F1ZX,5-6K,66000,"['1年以内', '学历不限']"
15,北京,人力资源专员/助理,本科,人事专员,7d1103acc40118031HF63tS0E1VX,7-9K,96000,"['1-3年', '本科']"
16,北京,人力资源专员/助理,硕士,人力实习生,95bf8f45515376441HZy0tu_EFpQ,60-110元/天,21250,"['4天/周', '3个月', '硕士']"
17,北京,人力资源专员/助理,本科,人力资源专员,21278d23fd7ee3a11HBz2dq4EVBX,7-9K,96000,"['经验不限', '本科']"
18,北京,人力资源专员/助理,本科,人事专员,96f7cbd829727f141HN63dW6FlBR,5-8K,78000,"['3-5年', '本科']"
19,北京,人力资源专员/助理,本科,人力资源专员,f2fce43029bed8d01XJ-39m_FFtS,7-10K,102000,"['经验不限', '本科']"
20,北京,人力资源专员/助理,学历不限,无责6000+人事专员+周末双休,41c98d246140ca2e1HN43NS7EVRW,7-12K,114000,"['经验不限', '学历不限']"
21,北京,人力资源专员/助理,学历不限,人事行政专员,25609bb7ce367d161HJ709-9ElZU,5-7K,72000,"['1-3年', '学历不限']"
22,北京,人力资源专员/助理,大专,人事,c7e5dea4d7dff82c1Hdy396-EFVT,6-11K,102000,"['经验不限', '大专']"
23,北京,人力资源专员/助理,本科,人力资源实习生,c79107d12e9ccaa01HBz3924GVtR,200-260元/天,57500,"['3天/周', '2个月', '本科']"
24,北京,人力资源专员/助理,本科,人事行政,0977e9e61536c2101HV70t6_GVpY,5-7K,72000,"['经验不限', '本科']"
25,北京,人力资源专员/助理,本科,招聘专员,7eab38de52138d3d1HZ529q_E1BY,11-16K,162000,"['经验不限', '本科']"
26,北京,人力资源专员/助理,本科,人力资源专员/助理（2024毕业生）,722fa657aa93ac341HJ-2tu0GFBS,5-8K·13薪,84500,"['在校/应届', '本科']"
27,北京,人力资源专员/助理,本科,HR实习生,82d75600fea1fa6b1XN50tW0EFpZ,4-5K,54000,"['在校/应届', '本科']"
28,北京,人力资源专员/助理,大专,人力资源专员,311b0b739f8516751HN70964FldS,5-10K,90000,"['经验不限', '大专']"
29,北京,人力资源专员/助理,本科,人力资源培训生,f9303553e3f797c11H162di9GVpR,10-14K·14薪,168000,"['在校/应届', '本科']"
30,北京,人力资源经理/主管,本科,海外人力交付经理,8d746139b9ba12cf1HFz39q1FlJQ,12-18K,180000,"['1-3年', '本科']"
31,北京,人力资源经理/主管,本科,培训经理,78bcb990b61a2abb1HN-0t-1GVdQ,15-25K,240000,"['10年以上', '本科']"
32,北京,人力资源经理/主管,本科,行政人事主管,50526292ea8aed4c1nZ62969GFFW,9-10K,114000,"['3-5年', '本科']"
33,北京,人力资源经理/主管,本科,人力资源经理/总监,37935a73d4ccd4ef1HN62t69FFRT,12-20K,192000,"['5-10年', '本科']"
34,北京,人力资源经理/主管,硕士,人力资源经理,bd1342b1a3b2f3161HJ62Ni6F1BU,12-20K,192000,"['5-10年', '硕士']"
35,北京,人力资源经理/主管,本科,人事/行政经理,864fbe1685b057011HN52dS8F1tZ,12-20K,192000,"['3-5年', '本科']"
36,北京,人力资源经理/主管,本科,人力资源经理,2f90c2476b6207251HN92ti1GVtW,10-15K,150000,"['5-10年', '本科']"
37,北京,人力资源经理/主管,本科,人力行政综合岗,db496f15d329b83f1HJ73N29ElBS,8-13K,126000,"['3-5年', '本科']"
38,北京,人力资源经理/主管,本科,HR专员/主管,2fe364aab27f50b31XF70tq8FVNW,8-13K,126000,"['1-3年', '本科']"
39,北京,人力资源经理/主管,本科,人事经理,2b36bfd261f81ea41HB63dS0FVJZ,10-15K,150000,"['3-5年', '本科']"
40,北京,人力资源经理/主管,本科,人事经理,b25fc6493ae2accb1HF929m7EVdQ,8-10K,108000,"['3-5年', '本科']"
41,北京,人力资源经理/主管,本科,人事经理,a5c08bf7c78f4c021HJy29y9F1NR,7-10K,102000,"['3-5年', '本科']"
42,北京,人力资源经理/主管,本科,行政人事主管,d818ebc19e39f1031Hd-3dq6FlNS,7-10K,102000,"['3-5年', '本科']"
43,北京,人力资源经理/主管,本科,人力资源经理/主管,67179757993bb8291HB42ti1EVJW,15-25K,240000,"['3-5年', '本科']"
44,北京,人力资源经理/主管,本科,人力资源经理,95a6b4b622ac98731HN80tu0EVJX,15-22K,222000,"['10年以上', '本科']"
45,北京,人力资源经理/主管,本科,综合部经理,bc9a76a05f35ae3f1Hd_3925FFJZ,13-16K,174000,"['3-5年', '本科']"
46,北京,人力资源经理/主管,本科,人力行政经理/主管,89eef185dfe040bd1HB70ti7EVpW,10-15K·14薪,175000,"['5-10年', '本科']"
47,北京,人力资源经理/主管,本科,人事经理,ec8bac88be75339d1HVy3NW8GFZV,12-24K,216000,"['5-10年', '本科']"
48,北京,人力资源经理/主管,本科,人力资源主管,76058678cdfe34e61Hd93ti0FlBV,7-9K·13薪,104000,"['5-10年', '本科']"
49,北京,人力资源经理/主管,大专,行政/人事主管,705a935f251a8aae1HN93920F1VS,7-10K,102000,"['5-10年', '大专']"
50,北京,人力资源经理/主管,本科,高级hrbp经理,99044b46e72313d31Hd52tq-GFJW,35-50K·14薪,595000,"['5-10年', '本科']"
51,北京,人力资源经理/主管,大专,电商人事经理,6181d26a316cc4e01HN72NS9FltR,7-10K,102000,"['1-3年', '大专']"
52,北京,人力资源经理/主管,本科,人力资源经理/主管,c2669e93884295011HJ40tm0E1FW,9-13K·13薪,143000,"['3-5年', '本科']"
53,北京,人力资源经理/主管,本科,人力资源经理/主管,0b8b9d15c055ddce1Hdz29S5GFtZ,10-15K,150000,"['5-10年', '本科']"
54,北京,人力资源经理/主管,大专,人事经理,f90a017429ccf5a81HF83t67FlBU,5-10K,90000,"['1年以内', '大专']"
55,北京,人力资源经理/主管,本科,海外人力资源经理,dc8465af8eaa58d71HJ92dW-E1ZX,20-30K·13薪,325000,"['5-10年', '本科']"
56,北京,人力资源经理/主管,本科,人力行政经理,487ff0b57e5b1e5a1Hd_0964E1dQ,10-11K,126000,"['5-10年', '本科']"
57,北京,人力资源经理/主管,本科,招聘经理,3d86c1856e2f2a841HB7396_FltR,15-25K,240000,"['3-5年', '本科']"
58,北京,人力资源经理/主管,本科,人事行政专员HR,843a2b70e509db5e1HN42t27FlJV,8-12K,120000,"['3-5年', '本科']"
59,北京,人力资源经理/主管,大专,建筑公司人力资源经理,06ca58e3e35334291Hd639-4FFNV,15-20K,210000,"['5-10年', '大专']"
60,北京,人力资源总监,本科,HRD,1ffd8402323c4ba71HFz2Ni5F1FV,40-60K,600000,"['10年以上', '本科']"
61,北京,人力资源总监,本科,人力行政总监,5310f11b37382e941HF80ti1GVNS,25-35K,360000,"['5-10年', '本科']"
62,北京,人力资源总监,本科,HRVP,35cf8472aaa5ed701HN62Nm0GVtQ,50-70K·18薪,1080000,"['10年以上', '本科']"
